(0.507, 0.003)
(0.517, 0.023)
(0.535, 0.045)
(0.553, 0.053)
(0.569, 0.055)
(0.592, 0.055)
(0.61, 0.049)
(0.635, 0.048)
(0.65, 0.047)
(0.665, 0.047)
(0.679, 0.047)
(0.692, 0.048)
(0.703, 0.049)
(0.712, 0.05)
(0.721, 0.051)
(0.729, 0.053)
(0.736, 0.053)
(0.742, 0.053)
(0.748, 0.054)
(0.753, 0.054)
(0.758, 0.055)
(0.763, 0.056)
(0.767, 0.057)
(0.77, 0.057)
(0.774, 0.058)
(0.777, 0.059)
(0.78, 0.059)
(0.783, 0.06)
(0.786, 0.06)
(0.789, 0.061)
(0.791, 0.061)
(0.793, 0.062)
(0.795, 0.062)
(0.798, 0.063)
(0.799, 0.063)
(0.801, 0.063)
(0.803, 0.064)
(0.804, 0.064)
(0.806, 0.064)
(0.808, 0.064)
(0.809, 0.065)
(0.811, 0.065)
(0.812, 0.066)
(0.813, 0.066)
(0.815, 0.067)
(0.816, 0.067)
(0.817, 0.067)
(0.818, 0.068)
(0.819, 0.069)
(0.82, 0.069)
(0.821, 0.069)
(0.822, 0.07)
(0.823, 0.07)
(0.824, 0.071)
(0.825, 0.071)
(0.826, 0.072)
(0.827, 0.072)
(0.828, 0.073)
(0.828, 0.073)
(0.829, 0.074)
(0.83, 0.074)
(0.83, 0.074)
(0.831, 0.075)
(0.831, 0.075)
(0.832, 0.075)
(0.832, 0.075)
(0.832, 0.076)
