(0.388, 0.019)
(0.372, 0.012)
(0.412, 0.017)
(0.445, 0.017)
(0.417, 0.016)
(0.574, 0.027)
(0.594, 0.027)
(0.594, 0.027)
(0.594, 0.027)
(0.594, 0.027)
(0.594, 0.027)
(0.583, 0.033)
(0.641, 0.043)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.707, 0.055)
(0.73, 0.059)
(0.73, 0.059)
(0.73, 0.059)
(0.73, 0.059)
(0.73, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
(0.731, 0.059)
